epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
136,38486.7,0.33212,0.23276,0.81478,0.95636,0.97095,0.99092,0.93999,0.32182,0.21223,0.82128,0.005545,0.005545,0.005545
137,38650.4,0.32888,0.23267,0.81341,0.95979,0.96854,0.99119,0.94138,0.3179,0.20893,0.81934,0.005512,0.005512,0.005512
138,38796.5,0.32846,0.2313,0.81205,0.95886,0.96465,0.99122,0.94207,0.31913,0.20958,0.82107,0.005479,0.005479,0.005479
139,38965.4,0.32909,0.22893,0.81072,0.95987,0.96599,0.98833,0.93894,0.31753,0.20937,0.82017,0.005446,0.005446,0.005446
140,39097.5,0.32499,0.22907,0.81011,0.96378,0.96876,0.99148,0.94536,0.31751,0.20846,0.82076,0.005413,0.005413,0.005413
141,39235.5,0.32587,0.22992,0.81315,0.96231,0.96952,0.99131,0.94278,0.31762,0.21002,0.82162,0.00538,0.00538,0.00538
142,39358.2,0.32519,0.22609,0.81307,0.96226,0.9667,0.99094,0.94523,0.31877,0.21114,0.82194,0.005347,0.005347,0.005347
143,39516.6,0.32213,0.22536,0.81149,0.96236,0.96682,0.99072,0.94288,0.31667,0.21027,0.82103,0.005314,0.005314,0.005314
144,39651.6,0.32312,0.2289,0.81174,0.9619,0.96653,0.99082,0.94888,0.3142,0.21167,0.82033,0.005281,0.005281,0.005281
145,39802.9,0.32315,0.22688,0.80952,0.96384,0.96602,0.99058,0.94812,0.31217,0.2121,0.81926,0.005248,0.005248,0.005248
146,39957.3,0.32196,0.2258,0.81163,0.96195,0.96737,0.99051,0.94742,0.31402,0.21089,0.82003,0.005215,0.005215,0.005215
147,40118.4,0.31713,0.22658,0.81168,0.96424,0.96529,0.99066,0.94832,0.31333,0.21021,0.81951,0.005182,0.005182,0.005182
148,40212.6,0.31805,0.22392,0.81174,0.96218,0.96783,0.99071,0.94772,0.31374,0.20862,0.82067,0.005149,0.005149,0.005149
149,40334.7,0.3197,0.22485,0.81188,0.96074,0.96802,0.99062,0.94879,0.31514,0.20921,0.82282,0.005116,0.005116,0.005116
150,40461.8,0.31712,0.22072,0.81071,0.95923,0.96419,0.99037,0.94808,0.31692,0.20716,0.82565,0.005083,0.005083,0.005083
151,40573.9,0.32045,0.22204,0.81021,0.96102,0.96779,0.99058,0.94748,0.31518,0.20701,0.82377,0.00505,0.00505,0.00505
152,40686.6,0.31922,0.22524,0.80955,0.96184,0.96671,0.99034,0.94509,0.31379,0.20672,0.8212,0.005017,0.005017,0.005017
153,40772.1,0.31793,0.22382,0.80984,0.96276,0.96632,0.98996,0.94487,0.31175,0.20543,0.82052,0.004984,0.004984,0.004984
154,40882.2,0.31685,0.22361,0.8104,0.96171,0.96607,0.99048,0.94544,0.31094,0.20662,0.81984,0.004951,0.004951,0.004951
155,40987.5,0.31725,0.22036,0.80975,0.96134,0.96759,0.99074,0.94476,0.3107,0.20548,0.81811,0.004918,0.004918,0.004918
156,41082.2,0.31299,0.21782,0.80882,0.96033,0.96747,0.99082,0.9439,0.30894,0.20577,0.81805,0.004885,0.004885,0.004885
157,41179.4,0.31205,0.21582,0.80831,0.9621,0.96777,0.98803,0.94276,0.31054,0.20678,0.81876,0.004852,0.004852,0.004852
158,41265.9,0.31058,0.21779,0.80989,0.96206,0.96901,0.9905,0.94546,0.3109,0.20648,0.81915,0.004819,0.004819,0.004819
159,41357.4,0.31109,0.21852,0.8091,0.96301,0.96937,0.99055,0.94558,0.31086,0.20708,0.81881,0.004786,0.004786,0.004786
160,41455.8,0.30963,0.21506,0.80945,0.96153,0.96555,0.99074,0.94622,0.31312,0.20568,0.82091,0.004753,0.004753,0.004753
161,41540.1,0.30986,0.21851,0.80908,0.95801,0.96666,0.99064,0.94727,0.31333,0.20542,0.82091,0.00472,0.00472,0.00472
162,41614.5,0.30882,0.21484,0.80791,0.95881,0.96767,0.99006,0.94605,0.31173,0.20697,0.82055,0.004687,0.004687,0.004687
163,41690,0.30867,0.21478,0.80696,0.95798,0.96863,0.99048,0.94474,0.30991,0.20525,0.81825,0.004654,0.004654,0.004654
164,41782.7,0.30902,0.21665,0.80805,0.96904,0.96298,0.99055,0.94791,0.30786,0.20379,0.81738,0.004621,0.004621,0.004621
165,41874,0.30734,0.21634,0.8071,0.96985,0.96634,0.99028,0.94665,0.30596,0.20378,0.81702,0.004588,0.004588,0.004588
166,41965.3,0.30456,0.21348,0.80725,0.96931,0.96753,0.9904,0.94595,0.30501,0.20343,0.8173,0.004555,0.004555,0.004555
167,42054.1,0.30255,0.21196,0.80613,0.96802,0.96635,0.99061,0.94475,0.30415,0.20334,0.81766,0.004522,0.004522,0.004522
168,42128.3,0.30228,0.21195,0.80678,0.96163,0.96576,0.99066,0.94589,0.30423,0.2037,0.81808,0.004489,0.004489,0.004489
169,42208.4,0.30321,0.21191,0.80754,0.96408,0.96609,0.99095,0.94766,0.30279,0.20393,0.8175,0.004456,0.004456,0.004456
170,42293.5,0.30335,0.21103,0.80511,0.9656,0.96657,0.99117,0.94801,0.30293,0.20528,0.818,0.004423,0.004423,0.004423
171,42376.9,0.30131,0.21246,0.80827,0.96454,0.96624,0.99122,0.95029,0.30134,0.2043,0.81797,0.00439,0.00439,0.00439
172,42457.8,0.30196,0.20937,0.80731,0.96151,0.96854,0.99105,0.95066,0.30314,0.20472,0.81884,0.004357,0.004357,0.004357
173,42541.3,0.3018,0.2111,0.80649,0.96043,0.96975,0.99094,0.94958,0.30228,0.20334,0.81943,0.004324,0.004324,0.004324
174,42630.1,0.29896,0.21153,0.80623,0.95937,0.96866,0.99078,0.95058,0.30275,0.20491,0.82,0.004291,0.004291,0.004291
175,42708.8,0.3001,0.21034,0.80694,0.9599,0.96644,0.99068,0.95075,0.30295,0.20438,0.82043,0.004258,0.004258,0.004258
176,42789.7,0.29595,0.20865,0.80498,0.96102,0.96788,0.99067,0.95143,0.30262,0.20575,0.8198,0.004225,0.004225,0.004225
177,42879,0.29442,0.2064,0.806,0.96311,0.96544,0.99048,0.94904,0.30277,0.20656,0.82004,0.004192,0.004192,0.004192
178,42949.1,0.29781,0.20621,0.80512,0.96472,0.96511,0.99038,0.95254,0.30185,0.20638,0.81966,0.004159,0.004159,0.004159
179,43027.4,0.29453,0.20464,0.80436,0.96571,0.96516,0.99045,0.95302,0.30131,0.20455,0.82026,0.004126,0.004126,0.004126
180,43118,0.2927,0.20528,0.80501,0.96773,0.96564,0.9903,0.95028,0.30098,0.20376,0.81951,0.004093,0.004093,0.004093
181,43188,0.29241,0.20481,0.80424,0.97052,0.9668,0.98996,0.95394,0.30141,0.20376,0.81955,0.00406,0.00406,0.00406
182,43260.3,0.29204,0.20542,0.80552,0.96654,0.96719,0.99017,0.95329,0.30037,0.20164,0.81882,0.004027,0.004027,0.004027
183,43341.5,0.29169,0.20181,0.80325,0.96403,0.96741,0.99018,0.95107,0.30011,0.20094,0.81872,0.003994,0.003994,0.003994
184,43427,0.29052,0.20386,0.80387,0.96167,0.96938,0.99018,0.94508,0.2991,0.19987,0.81819,0.003961,0.003961,0.003961
185,43504.4,0.28627,0.19911,0.80475,0.96029,0.96893,0.99029,0.94901,0.29862,0.19977,0.81782,0.003928,0.003928,0.003928
186,43585.8,0.29111,0.20338,0.80538,0.96098,0.96875,0.99041,0.94941,0.29878,0.20065,0.81806,0.003895,0.003895,0.003895
187,43669,0.28828,0.19915,0.80308,0.96031,0.96897,0.99048,0.95207,0.29738,0.19951,0.81759,0.003862,0.003862,0.003862
188,43744.6,0.28693,0.19953,0.804,0.95936,0.97006,0.9904,0.95076,0.29627,0.19899,0.81689,0.003829,0.003829,0.003829
189,43820.5,0.28583,0.19586,0.80252,0.95892,0.97116,0.9904,0.95162,0.29603,0.19938,0.81695,0.003796,0.003796,0.003796
190,43902.3,0.28473,0.19899,0.80109,0.95977,0.97163,0.99047,0.94956,0.29768,0.19908,0.81848,0.003763,0.003763,0.003763
